CODIGOPAIS,PAIS,CONTINENTEXP,TOTALCASOS,TOTALMUERTES,POBLACION,UTIL_SER_BASIC_T_A,UTIL_SER_BASIC_T,UTIL_SER_BASIC_U,UTIL_SER_BASIC_GER_T_A,UTIL_SER_BASIC_GER_T,UTIL_SER_BASIC_GER_U
NIC,Nicaragua,America,5887,162,6545503,000000,82,97,59,56,67,39
SDN,Sudan,Africa,21386,1347,42813237,000000,60,74,53,0,0,0
CPV,CapeVerde,Africa,11357,110,549936,000000,0,0,0,0,0,0
NAM,Namibia,Africa,16536,160,2494524,000000,84,96,71,0,0,0
BMU,Bermuda,America,431,9,62508,000000,0,0,0,0,0,0
NCL,NewCaledonia,Oceania,36,0,282757,000000,0,0,0,0,0,0
TCD,Chad,Africa,1770,102,15946882,000000,46,74,38,6,17,2
LIE,Liechtenstein,Europe,1514,18,38378,000000,0,0,0,0,0,0
TZA,UnitedRepublicofTanzania,Africa,509,21,58005461,000000,61,89,45,0,0,0
NOR,Norway,Europe,40022,387,5328212,000000,100,100,100,99,0,0
,CasesonaninternationalconveyanceJapan,Other,696,7,,000000,0,0,0,0,0,0
NLD,Netherlands,Europe,612746,10034,17282163,000000,100,100,100,100,0,0
TUR,Turkey,Europe,995471,16199,82003882,000000,0,0,0,0,0,0
BLR,Belarus,Europe,160295,1263,9452409,000000,97,96,99,95,0,0
SEN,Senegal,Africa,17075,349,16296362,000000,85,95,75,0,0,0
OMN,Oman,Asia,126240,1471,4974992,000000,92,95,76,91,0,0
CIV,CotedIvoire,Africa,21680,133,25716554,000000,0,0,0,0,0,0
GUY,Guyana,America,5920,155,782775,000000,96,100,94,0,0,0
GRC,Greece,Europe,124534,3625,10724599,000000,100,100,100,100,0,0
JOR,Jordan,Asia,259614,3365,10101697,000000,99,99,97,86,0,0
MNP,NorthernMarianaIslands,Oceania,113,2,57213,000000,0,0,0,0,0,0
YEM,Yemen,Asia,2083,606,29161922,000000,61,77,51,0,0,0
SRB,Serbia,Europe,266432,2331,6963764,000000,95,95,96,75,82,67
HTI,Haiti,America,9565,234,11263079,000000,67,85,43,0,0,0
EST,Estonia,Europe,18055,149,1324820,000000,100,100,0,96,0,0
GUM,Guam,Oceania,7106,118,167295,000000,0,0,0,0,0,0
SVN,Slovenia,Europe,96314,1459,2080908,000000,100,0,0,98,0,0
HUN,Hungary,Europe,283870,7130,9772756,000000,100,100,100,93,94,89
PRT,Portugal,Europe,348744,5559,10276617,000000,100,100,100,95,97,93
ATG,AntiguaandBarbuda,America,148,4,97115,000000,0,0,0,0,0,0
BEL,Belgium,Europe,608001,17951,11455519,000000,100,100,100,100,0,0
MNE,Montenegro,Europe,41426,582,622182,000000,99,99,98,85,87,0
BEN,Benin,Africa,3090,44,11801151,000000,65,73,58,0,0,0
COL,Colombia,America,1425774,39053,50339443,000000,97,100,87,73,80,40
AZE,Azerbaijan,Europe,175874,1922,10047719,000000,96,100,91,88,96,78
IRQ,Iraq,Asia,574634,12579,39309789,000000,98,100,95,60,65,48
MLT,Malta,Europe,11101,166,493559,000000,100,100,100,100,0,0
CHE,Switzerland,Europe,372329,5378,8544527,000000,100,100,100,94,0,0
MAR,Morocco,Africa,399609,6624,36471766,000000,90,98,77,80,91,61
BGD,Bangladesh,Asia,490533,7052,163046173,000000,98,97,98,59,53,62
ALB,Albania,Europe,48530,1003,2862427,000000,95,96,94,71,0,0
ISL,Iceland,Europe,5557,28,356991,000000,100,100,100,100,0,0
GNB,GuineaBissau,Africa,2444,44,1920917,000000,0,0,0,0,0,0
ARE,UnitedArabEmirates,Asia,184949,617,9770526,000000,100,0,0,0,0,0
CAF,CentralAfricanRepublic,Africa,4936,63,4745179,000000,37,50,28,6,12,2
KWT,Kuwait,Asia,146218,911,4207077,000000,100,0,0,100,0,0
LKA,SriLanka,Asia,32790,152,21323734,000000,92,100,91,0,93,0
BTN,Bhutan,Asia,438,0,763094,000000,97,98,97,37,49,28
COM,Comoros,Africa,628,7,850891,000000,0,0,0,0,0,0
LBR,Liberia,Africa,1676,83,4937374,000000,75,86,64,0,0,0
LUX,Luxembourg,Europe,41272,396,613894,000000,100,100,99,99,100,97
BDI,Burundi,Africa,729,1,11530577,000000,62,91,58,0,0,0
JEY,Jersey,Europe,1779,32,107796,000000,0,0,0,0,0,0
MHL,MarshallIslands,Oceania,4,0,58791,000000,89,87,94,0,0,0
SWE,Sweden,Europe,320098,7514,10230185,000000,100,100,100,100,0,0
VUT,Vanuatu,Oceania,1,0,299882,000000,91,100,88,0,57,0
GIB,Gibraltar,Europe,1075,5,33706,000000,0,0,0,0,0,0
GNQ,EquatorialGuinea,Africa,5185,85,1355982,000000,0,0,0,0,0,0
IRL,Ireland,Europe,76185,2124,4904240,000000,97,97,98,97,0,0
USA,UnitedStatesofAmerica,America,16256754,299177,329064917,000000,100,100,100,97,97,0
ISR,Israel,Asia,357859,2999,8519373,000000,100,100,100,99,99,99
SLV,ElSalvador,America,41880,1205,6453550,000000,98,100,93,0,77,0
TTO,TrinidadandTobago,America,6879,122,1394969,000000,99,0,0,0,0,0
CYP,Cyprus,Europe,15101,78,875899,000000,100,100,100,100,0,0
GRL,Greenland,America,19,0,56660,000000,0,0,0,0,0,0
KNA,SaintKittsandNevis,America,27,0,52834,000000,0,0,0,0,0,0
MSF,Montserrat,America,13,1,4991,000000,0,0,0,0,0,0
RWA,Rwanda,Africa,6659,56,12626938,000000,60,83,56,12,46,5
SUR,Suriname,America,5353,117,581363,000000,98,99,97,56,63,41
KGZ,Kyrgyzstan,Asia,77674,1312,6415851,000000,92,99,87,70,92,57
AGO,Angola,Africa,16188,371,31825299,000000,57,72,28,0,0,0
BRB,Barbados,America,292,7,287021,000000,99,0,0,0,0,0
DMA,Dominica,America,87,0,71808,000000,0,0,0,0,0,0
MUS,Mauritius,Africa,515,10,1269670,000000,100,100,100,0,0,0
MNG,Mongolia,Asia,912,0,3225166,000000,85,97,61,30,39,11
ZAF,SouthAfrica,Africa,860964,23276,58558267,000000,94,99,83,0,81,0
BFA,BurkinaFaso,Africa,4030,71,20321383,000000,47,80,33,0,0,0
IRN,Iran,Asia,1108269,52196,82913893,000000,0,0,0,0,0,0
ESP,Spain,Europe,1730575,47624,46937060,000000,100,100,100,100,100,99
FRA,France,Europe,2376852,57911,67012883,000000,100,100,100,99,100,0
PNG,PapuaNewGuinea,Oceania,725,8,8776119,000000,45,86,39,0,0,0
EGY,Egypt,Africa,121575,6920,100388076,000000,99,100,99,0,0,0
ETH,Ethiopia,Africa,116769,1806,112078727,000000,50,84,40,13,39,5
MDV,Maldives,Asia,13368,48,530957,000000,100,99,100,0,0,0
VCT,SaintVincentandtheGrenadines,America,98,0,110593,000000,0,0,0,0,0,0
CAN,Canada,America,460743,13431,37411038,000000,99,99,99,99,0,0
NER,Niger,Africa,2258,80,23310719,000000,47,86,39,0,0,0
COD,DemocraticRepublicoftheCongo,Africa,14512,355,86790568,000000,46,75,22,19,40,1
SOM,Somalia,Africa,4579,121,15442906,000000,56,79,37,0,0,0
SYR,Syria,Asia,9166,518,17070132,000000,0,0,0,0,0,0
KOR,SouthKorea,Asia,43484,587,51225321,000000,0,0,0,0,0,0
BGR,Bulgaria,Europe,179449,5688,7000039,000000,99,100,97,98,0,0
BRA,Brazil,America,6901952,181402,211049519,000000,99,100,96,86,88,72
JAM,Jamaica,America,11710,273,2948277,000000,91,95,85,0,0,0
PYF,FrenchPolynesia,Oceania,15618,91,279285,000000,0,0,0,0,0,0
FRO,FaroeIslands,Europe,528,0,48677,000000,0,0,0,0,0,0
GIN,Guinea,Africa,13420,79,12771246,000000,64,87,51,0,0,0
GRD,Grenada,America,69,0,112002,000000,0,0,0,0,0,0
HRV,Croatia,Europe,175886,2640,4076246,000000,0,100,0,0,94,0
AIA,Anguilla,America,10,0,14872,000000,0,0,0,0,0,0
KEN,Kenya,Africa,91892,1587,52573967,000000,62,87,52,0,58,0
PRY,Paraguay,America,93582,1953,7044639,000000,100,100,99,64,72,51
SWZ,Eswatini,Africa,6768,127,1148133,000000,71,97,62,0,89,0
NGA,Nigeria,Africa,73175,1197,200963603,000000,78,92,62,22,25,18
ROU,Romania,Europe,556335,13385,19414458,000000,100,100,100,82,95,67
CRI,CostaRica,America,150947,1895,5047561,000000,100,100,100,81,80,81
MCO,Monaco,Europe,668,2,33085,000000,100,100,0,100,100,0
PAN,Panama,America,193007,3356,4246440,000000,94,98,86,0,0,0
MKD,NorthMacedonia,Europe,73638,2121,2077132,000000,98,98,97,77,85,66
CMR,Cameroon,Africa,25143,443,25876387,000000,66,82,44,0,0,0
LAO,Laos,Asia,41,0,7169456,000000,0,0,0,0,0,0
MOZ,Mozambique,Africa,16954,142,30366043,000000,63,88,49,0,0,0
NPL,Nepal,Asia,248423,1698,28608715,000000,90,90,90,18,25,16
TLS,TimorLeste,Asia,31,0,1293120,000000,0,0,0,0,0,0
FLK,FalklandIslands(Malvinas),America,19,0,3372,000000,0,0,0,0,0,0
LSO,Lesotho,Africa,2250,44,2125267,000000,72,93,64,29,78,9
PAK,Pakistan,Asia,440787,8832,216565317,000000,90,93,89,36,40,33
PRI,PuertoRico,America,107158,1272,2933404,000000,0,0,0,0,0,0
UZB,Uzbekistan,Asia,75094,612,32981715,000000,98,100,96,59,86,31
,WallisandFutuna,Oceania,3,0,,000000,0,0,0,0,0,0
ERI,Eritrea,Africa,711,0,3497117,000000,0,0,0,0,0,0
AND,Andorra,Europe,7338,79,76177,000000,100,100,100,91,0,0
XKX,Kosovo,Europe,46580,1198,1798506,000000,0,0,0,0,0,0
DEU,Germany,Europe,1337078,21975,83019213,000000,100,100,100,100,0,0
SAU,SaudiArabia,Asia,359888,6048,34268529,000000,100,0,0,0,0,0
KAZ,Kazakhstan,Asia,186277,2552,18551428,000000,95,98,92,89,0,0
POL,Poland,Europe,1135676,22864,37972812,000000,100,100,100,98,0,0
BIH,BosniaandHerzegovina,Europe,101117,3336,3300998,000000,96,95,97,89,0,0
SYC,Seychelles,Africa,187,0,97741,000000,0,0,0,0,0,0
SLE,SierraLeone,Africa,2440,75,7813207,000000,64,78,53,11,13,9
GMB,Gambia,Africa,3782,123,2347696,000000,81,88,69,45,67,8
ARG,Argentina,America,1498160,40766,44780675,000000,0,100,0,0,0,0
BLZ,Belize,America,9295,195,390351,000000,98,99,98,0,0,0
